last_ground_truth_date,state_name,target_date,Death_mean_weighted,Death_p2_5,Death_p97_5
2021-01-02,Alabama,2021-01-10,44.331369631816216,32.548925590078682,58.60793859546007
2021-01-02,Alabama,2021-01-11,44.557911037629317,32.472088004281133,58.992416678984526
2021-01-02,Alabama,2021-01-12,45.037319581798378,32.556150359411681,59.9242424585391
2021-01-02,Alabama,2021-01-13,45.224983811051473,32.2563606351438,60.26093431626235
2021-01-02,Alabama,2021-01-14,45.086429992622612,32.009634005536256,60.813744883973115
2021-01-02,Alabama,2021-01-15,45.488533961868022,31.932522089347753,61.600572780466145
2021-01-02,Alabama,2021-01-16,45.640823854342,31.763857937893569,62.149364977376969
2021-01-02,Alaska,2021-01-10,2.1845426046965573,1.037897109696424,3.3103952430883936
2021-01-02,Alaska,2021-01-11,2.1986366770240755,1.0409094322287409,3.3116404352527797
2021-01-02,Alaska,2021-01-12,2.1324524123945348,1.0382943128800379,3.3429021795149003
2021-01-02,Alaska,2021-01-13,2.1304484136718971,1.0298035405228485,3.3059876470617025
2021-01-02,Alaska,2021-01-14,2.1056900750173217,0.979719472968084,3.3171586733964262
2021-01-02,Alaska,2021-01-15,2.1342132686213477,0.96626475804630219,3.2965584079931611
2021-01-02,Alaska,2021-01-16,2.1103260006512659,0.98569432849332761,3.3034817574264546
2021-01-02,Arizona,2021-01-10,100.50033176239155,71.422275509049555,118.61660191991876
2021-01-02,Arizona,2021-01-11,101.59331155249838,72.084199412498336,120.6221640284657
2021-01-02,Arizona,2021-01-12,102.78802118656859,72.800751103932242,122.89017391583515
2021-01-02,Arizona,2021-01-13,105.92417273192646,73.3549119826547,125.52802048388264
2021-01-02,Arizona,2021-01-14,107.23937750408152,73.80444788322086,127.15431404249891
2021-01-02,Arizona,2021-01-15,108.67512000449987,74.237684944876477,129.74088210761926
2021-01-02,Arizona,2021-01-16,111.31882495445872,74.770709708470449,131.62062684096608
2021-01-02,Arkansas,2021-01-10,41.464042566199147,28.075140264075689,49.362988008970966
2021-01-02,Arkansas,2021-01-11,42.259689819773,28.001700480931174,49.805070477680751
2021-01-02,Arkansas,2021-01-12,42.061713164747182,27.861198682292681,49.818599862994745
