last_ground_truth_date,state_name,target_date,Death_mean_weighted,Death_p2_5,Death_p97_5
2021-01-09,Alabama,2021-01-31,65.33601968865554,47.36938388165531,89.798239170821589
2021-01-09,Alabama,2021-02-01,65.624987727988,47.138732420560025,90.908814338542143
2021-01-09,Alabama,2021-02-02,65.975087495111168,46.9735650816568,91.541356665954439
2021-01-09,Alabama,2021-02-03,66.245263014748389,46.741629302163133,92.759516740749362
2021-01-09,Alabama,2021-02-04,66.433424778060569,46.527888175923387,93.505369726463513
2021-01-09,Alabama,2021-02-05,66.831770794523052,46.175375276390888,94.456466139226777
2021-01-09,Alabama,2021-02-06,66.843360935867992,45.930493850831432,95.44783922959
2021-01-09,Alaska,2021-01-31,1.6104729650618033,0.72153433349667229,2.8226102669288142
2021-01-09,Alaska,2021-02-01,1.5784870093500458,0.7053743565882149,2.8186605636284048
2021-01-09,Alaska,2021-02-02,1.5602707021533833,0.68667294492886444,2.7836074633747923
2021-01-09,Alaska,2021-02-03,1.5408310315398526,0.68457380737070506,2.7496067264798145
2021-01-09,Alaska,2021-02-04,1.5341097049938437,0.66946067056983449,2.7586941038838413
2021-01-09,Alaska,2021-02-05,1.5111771262989506,0.66014102490644511,2.7426269720974576
2021-01-09,Alaska,2021-02-06,1.4753349192417249,0.6506892021498607,2.729936907890079
2021-01-09,Arizona,2021-01-31,177.83556111337174,117.85656073617331,204.54353487014595
2021-01-09,Arizona,2021-02-01,179.50482558445395,118.0029936331813,205.99913129470482
2021-01-09,Arizona,2021-02-02,183.2463180526357,118.57506092912308,208.01476689511054
2021-01-09,Arizona,2021-02-03,183.32884100433444,118.41538036589749,210.61087381813152
2021-01-09,Arizona,2021-02-04,186.67884985137931,119.00969374853416,212.59372191282174
2021-01-09,Arizona,2021-02-05,187.27228134046214,118.42508709640349,215.19295904994786
2021-01-09,Arizona,2021-02-06,190.47502064268559,117.76780292016886,217.07397674893426
2021-01-09,Arkansas,2021-01-31,43.24842153534702,31.749556325223278,54.014729523861611
2021-01-09,Arkansas,2021-02-01,43.342655474892553,31.569259824600906,54.284846481462743
2021-01-09,Arkansas,2021-02-02,43.123709124152661,31.547941657187284,54.379930646160609
2021-01-09,Arkansas,2021-02-03,43.091962505484183,31.441565631464037,54.5982643405513
2021-01-09,Arkansas,2021-02-04,43.029811880241546,31.389650405247306,54.7454449629215
2021-01-09,Arkansas,2021-02-05,43.315256366153115,31.20294589550587,54.835194354627674
2021-01-09,Arkansas,2021-02-06,43.0897277449346,31.112432855207643,55.185647415093776
2021-01-09,California,2021-01-31,445.2466773503229,319.21751497909537,507.7458376830815
2021-01-09,California,2021-02-01,448.66381211623519,315.00427934132176,507.66922336199883
2021-01-09,California,2021-02-02,442.30708989827974,314.55779701403424,499.98266492987136
2021-01-09,California,2021-02-03,441.96847438769066,309.05363473873024,503.82483815560022
2021-01-09,California,2021-02-04,444.1874383433705,309.91356415921439,502.35675189606917
2021-01-09,California,2021-02-05,443.62333632753212,307.94864904263903,505.77372649695525
2021-01-09,California,2021-02-06,439.15513696316339,301.76706650115295,500.67818176491562
2021-01-09,Colorado,2021-01-31,29.954505745485857,21.253927683409231,37.436119952802891
2021-01-09,Colorado,2021-02-01,29.375230971319251,20.064332236799494,37.669927333944
2021-01-09,Colorado,2021-02-02,28.84133500617839,19.818936890058414,36.79324338567038
2021-01-09,Colorado,2021-02-03,28.2293697156632,18.843465326252129,36.514049898550347
2021-01-09,Colorado,2021-02-04,27.043348495160764,18.424439757540071,35.147061627943629
2021-01-09,Colorado,2021-02-05,26.451173386193062,17.746872838149841,35.130108452889964
2021-01-09,Colorado,2021-02-06,25.644858656794529,17.110889491941762,34.619811507775609
2021-01-09,Connecticut,2021-01-31,33.06655674226073,19.433855660371691,49.330240115286152
2021-01-09,Connecticut,2021-02-01,32.844648963659374,19.703876436547841,49.254661296410951
2021-01-09,Connecticut,2021-02-02,32.771101424099648,17.973718856597451,49.553420945476688
2021-01-09,Connecticut,2021-02-03,32.749933941845285,18.962959665130796,53.107667652725659
2021-01-09,Connecticut,2021-02-04,32.866978831101257,19.466869904563804,49.254651354709175
2021-01-09,Connecticut,2021-02-05,31.866104676149487,18.934506922579871,51.606534480467921
2021-01-09,Connecticut,2021-02-06,31.980450723147268,18.900057791882066,48.8722880625142
2021-01-09,Delaware,2021-01-31,6.0792070329709018,3.4503191909426159,10.717488009381938
2021-01-09,Delaware,2021-02-01,6.1068467270451539,3.4191224108183067,10.786582090823881
2021-01-09,Delaware,2021-02-02,5.9971390096872312,3.3609382376783143,10.926685695136316
2021-01-09,Delaware,2021-02-03,6.0622367639826864,3.3071575113043608,11.028605794841537
2021-01-09,Delaware,2021-02-04,6.0648005403448018,3.2709560033794687,11.235333584217882
2021-01-09,Delaware,2021-02-05,6.0954148939534152,3.2198905830977478,11.326799599102205
2021-01-09,Delaware,2021-02-06,6.0538620551034139,3.1921283047062281,11.47561559377084
2021-01-09,Florida,2021-01-31,161.64431725342081,114.91394742028756,255.94410726068881
2021-01-09,Florida,2021-02-01,160.2454281267907,114.78563211482971,258.17741355139327
2021-01-09,Florida,2021-02-02,160.72674715610324,114.53699353118216,259.74050873968656
2021-01-09,Florida,2021-02-03,164.78838945264494,115.72312961645555,265.57539653636303
2021-01-09,Florida,2021-02-04,164.96641537377297,113.56670624544238,265.50430146209203
2021-01-09,Florida,2021-02-05,163.78088369378784,115.87628040844187,269.50901059004349
2021-01-09,Florida,2021-02-06,161.54885164247966,115.87441485100885,274.51666667298286
