last_ground_truth_date,state_name,target_date,Death_mean_weighted,Death_p2_5,Death_p97_5
2021-01-09,Alabama,2021-01-24,62.511363071086024,48.098621371600295,82.44545445385404
2021-01-09,Alabama,2021-01-25,63.139031330423343,48.116932865290572,83.576768914463841
2021-01-09,Alabama,2021-01-26,63.637456220891188,48.05670557371225,84.709126960104
2021-01-09,Alabama,2021-01-27,63.9276353317941,47.954449716157647,85.777345884876013
2021-01-09,Alabama,2021-01-28,64.241391295786585,47.8323347410577,86.757623691327481
2021-01-09,Alabama,2021-01-29,64.623872389090238,47.729278102994577,87.727532584326326
2021-01-09,Alabama,2021-01-30,65.134798514337831,47.559337646648338,88.965462040649868
2021-01-09,Alaska,2021-01-24,1.7117399528448334,0.80917912059984809,2.8895053753708462
2021-01-09,Alaska,2021-01-25,1.67481481688793,0.79431062167495214,2.9112101659499832
2021-01-09,Alaska,2021-01-26,1.6545568319006991,0.76557984109184418,2.8444585273786767
2021-01-09,Alaska,2021-01-27,1.6613184649327628,0.77948294212035074,2.8600625614644373
2021-01-09,Alaska,2021-01-28,1.6574987975538753,0.74026688264690688,2.8356566289548466
2021-01-09,Alaska,2021-01-29,1.6162785160580839,0.74137345039479152,2.8223647382186425
2021-01-09,Alaska,2021-01-30,1.5995630970128063,0.730734950864364,2.817285797290864
2021-01-09,Arizona,2021-01-24,162.73189384146642,114.70298899482648,185.95290123750752
2021-01-09,Arizona,2021-01-25,163.83254667107622,115.25512779134665,188.45838066346025
2021-01-09,Arizona,2021-01-26,166.59048166015486,115.86100676176056,191.02844552606345
2021-01-09,Arizona,2021-01-27,171.62130563967261,116.94457390049935,194.36479797745869
2021-01-09,Arizona,2021-01-28,170.81049989720125,116.96661995686476,196.72300229666328
2021-01-09,Arizona,2021-01-29,177.64865869036416,117.53569539894299,200.31318840374692
2021-01-09,Arizona,2021-01-30,176.62052234349031,117.86121259241959,201.19093533774029
2021-01-09,Arkansas,2021-01-24,43.074235991658881,32.233056525170525,52.417234378043318
2021-01-09,Arkansas,2021-01-25,42.86549174379283,32.108173191071558,52.545706276692378
2021-01-09,Arkansas,2021-01-26,43.035006043498036,32.09430348919814,52.782993423449
2021-01-09,Arkansas,2021-01-27,42.970911198830365,32.047281262975048,53.154499843095685
2021-01-09,Arkansas,2021-01-28,43.363903526260394,31.968328247399331,53.306315770401142
2021-01-09,Arkansas,2021-01-29,43.048003954114677,31.913806613674694,53.445689153808921
2021-01-09,Arkansas,2021-01-30,43.427340135086794,31.797756731968807,53.825240297670405
2021-01-09,California,2021-01-24,448.2221259876037,333.00612269571235,503.29843673503717
2021-01-09,California,2021-01-25,448.7754234035616,329.75190280306686,508.38843156988054
2021-01-09,California,2021-01-26,448.63256675710153,329.98142009812284,507.67180563105433
2021-01-09,California,2021-01-27,448.52929443447027,326.08569422010362,507.45401874889291
2021-01-09,California,2021-01-28,450.30603635523033,328.40407752382981,508.23473761559922
2021-01-09,California,2021-01-29,447.46085438312446,323.13418168166982,503.73103777404236
2021-01-09,California,2021-01-30,445.65817365922186,321.61475841933179,503.74400609123762
2021-01-09,Colorado,2021-01-24,36.030808200691474,25.292727050929109,41.796912053919975
2021-01-09,Colorado,2021-01-25,34.831609398738138,24.784791950986772,40.599740114066073
2021-01-09,Colorado,2021-01-26,34.05194064533714,24.130437512194209,40.153102169864624
2021-01-09,Colorado,2021-01-27,33.477736918820696,22.943149152086285,40.687006564823861
2021-01-09,Colorado,2021-01-28,32.552804725064881,23.0875210628202,39.571790119487218
2021-01-09,Colorado,2021-01-29,31.777160916348066,22.346689170346373,38.936631488804423
2021-01-09,Colorado,2021-01-30,30.97228219077375,21.437843139854863,38.506316025285564
2021-01-09,Connecticut,2021-01-24,33.894186518031333,20.762822148079863,47.29339635057103
2021-01-09,Connecticut,2021-01-25,33.464837780392088,21.580825716065586,48.444506639885866
2021-01-09,Connecticut,2021-01-26,34.187141427943835,20.699806973625016,47.585633017130263
2021-01-09,Connecticut,2021-01-27,33.990552812660589,20.594270301115447,49.096711237155965
2021-01-09,Connecticut,2021-01-28,33.360548648504967,20.351454835839025,48.345375401861382
2021-01-09,Connecticut,2021-01-29,32.807512344461124,20.449645984573053,48.875626015348757
2021-01-09,Connecticut,2021-01-30,34.110276206690543,20.414147413923953,49.3444933337716
2021-01-09,Delaware,2021-01-24,6.0479718029273455,3.6987500668899225,9.7333639957820246
2021-01-09,Delaware,2021-01-25,6.0599499244861779,3.6527436760166569,9.8706401392083052
2021-01-09,Delaware,2021-01-26,5.9636571091287722,3.6401356974182018,9.9538606085668473
2021-01-09,Delaware,2021-01-27,6.0568183348838351,3.5941187252772688,10.168497683404556
2021-01-09,Delaware,2021-01-28,6.0317932197120347,3.5696379718093447,10.270219353850305
2021-01-09,Delaware,2021-01-29,6.05303981217403,3.5387029273063804,10.413171468673912
2021-01-09,Delaware,2021-01-30,6.0939994435420095,3.4682338434534787,10.639430365947431
2021-01-09,Florida,2021-01-24,159.33584749914303,114.17450770002949,231.778954552112
2021-01-09,Florida,2021-01-25,160.41404409632014,112.40673309708723,233.67504880266574
2021-01-09,Florida,2021-01-26,159.11790252616404,112.84061247148287,240.80512427665519
2021-01-09,Florida,2021-01-27,157.24644092470112,112.94066743639259,240.82150637192569
2021-01-09,Florida,2021-01-28,159.3020724756183,111.81023932480987,245.44366514539607
2021-01-09,Florida,2021-01-29,163.81543003496768,115.53894443969851,246.53731364070862
2021-01-09,Florida,2021-01-30,160.39128060744525,113.69659645465102,251.55694267434711
